predictor,scenario_id,actor_id,anchor_index,horizon_steps,ade_m,fde_m,range_mae_m,bearing_mae_deg,snr_mae_db,outage_f1,outage_auroc,link_lifetime_error_steps,link_lifetime_error_s,predicted_link_lifetime_s,actual_link_lifetime_s,actual_link_lifetime_censored,outage_positive_steps
last_position,52dafd686fe77b21,383,13,6,0.015712876187400034,0.03914252666795305,0.0044815468736626824,81.15252425772833,153.55552051011878,0.0,0.5,6.0,0.6000000000000001,0.6000000000000001,0.0,False,5
last_position,52dafd686fe77b21,387,13,6,0.013392432938919055,0.018612420461470623,0.009962953285677756,81.06042529512389,60.81274787014495,0.8,0.5,0.0,0.0,0.0,0.0,False,4
last_position,52dafd686fe77b21,391,13,6,0.028241449119954378,0.054113922359871176,0.011127946316692228,81.08762000791602,151.44981564583074,0.0,0.5,6.0,0.6000000000000001,0.6000000000000001,0.0,False,5
last_position,52dafd686fe77b21,395,13,6,0.2945394671664059,0.5335258652942595,0.2944954357939705,81.03534537389125,60.31058776700672,0.8,0.5,0.0,0.0,0.0,0.0,False,4
last_position,52dafd686fe77b21,408,13,6,0.014885782883352081,0.027428903140960165,0.013200483818116115,81.06314716665322,30.084402645269893,0.9090909090909091,0.5,1.0,0.1,0.0,0.1,False,5
constant_velocity,52dafd686fe77b21,383,13,6,0.07015594863595342,0.1331352351735879,0.021246196132410116,94.61903654334598,30.697694500841024,0.9090909090909091,0.5,0.0,0.0,0.0,0.0,False,5
constant_velocity,52dafd686fe77b21,387,13,6,0.07853873913244687,0.13364664558685127,0.046800928743644686,94.82639186386517,60.81274787014495,0.8,0.5,0.0,0.0,0.0,0.0,False,4
constant_velocity,52dafd686fe77b21,391,13,6,0.07670997971675832,0.13739391916526034,0.034260472232780316,94.83743058445258,29.744651160467043,0.9090909090909091,0.5,0.0,0.0,0.0,0.0,False,5
constant_velocity,52dafd686fe77b21,395,13,6,0.15530913468357058,0.294955826377714,0.1534984165583242,95.17280757373379,119.40399565785329,0.0,0.375,6.0,0.6000000000000001,0.6000000000000001,0.0,False,4
constant_velocity,52dafd686fe77b21,408,13,6,0.03472462084043355,0.045699479699459714,0.01850982200168927,95.0095144236402,30.084402645269893,0.9090909090909091,0.5,1.0,0.1,0.0,0.1,False,5
kalman_cv,52dafd686fe77b21,383,13,6,0.01172956947725485,0.010818031384913098,0.004873156971140731,61.85462920407168,30.697694500841024,0.9090909090909091,0.5,0.0,0.0,0.0,0.0,False,5
kalman_cv,52dafd686fe77b21,387,13,6,0.015054294821470115,0.01940462322378932,0.010160849584426757,61.87314123559272,92.50908578215304,0.4,0.875,0.0,0.0,0.0,0.0,False,4
kalman_cv,52dafd686fe77b21,391,13,6,0.033209796644616964,0.05966600620799041,0.008195454154416174,61.93594049137388,29.744651160467043,0.9090909090909091,0.5,0.0,0.0,0.0,0.0,False,5
kalman_cv,52dafd686fe77b21,395,13,6,0.22433666313408776,0.39266424332196226,0.22427048731544316,61.87555997903692,89.99808201682838,0.4,0.625,0.0,0.0,0.0,0.0,False,4
kalman_cv,52dafd686fe77b21,408,13,6,0.02801858433481173,0.059840743508780554,0.025782421989119026,61.89190744051834,0.4001077864773137,1.0,1.0,0.0,0.0,0.1,0.1,False,5
imm,52dafd686fe77b21,383,13,6,0.16800698090207244,0.39610929553197716,0.03382784189698714,97.56280408887051,30.697694500841024,0.9090909090909091,0.5,0.0,0.0,0.0,0.0,False,5
imm,52dafd686fe77b21,387,13,6,0.2855800535202468,0.6479415333847428,0.21179687167893135,97.93772016433418,60.81274787014495,0.8,0.5,0.0,0.0,0.0,0.0,False,4
imm,52dafd686fe77b21,391,13,6,0.2542633334827988,0.5723395321180443,0.1223224335932116,97.90625879893241,29.744651160467043,0.9090909090909091,0.5,0.0,0.0,0.0,0.0,False,5
imm,52dafd686fe77b21,395,13,6,0.11930745402177574,0.1904663174023646,0.09819313890532981,98.72149938078174,60.31058776700672,0.8,0.5,0.0,0.0,0.0,0.0,False,4
imm,52dafd686fe77b21,408,13,6,0.15980100975723852,0.38581616584400774,0.13187249307386986,98.30007485317515,148.14599802374457,0.0,0.2,5.0,0.5,0.6000000000000001,0.1,False,5
constant_acceleration,52dafd686fe77b21,383,13,6,0.34336391889311096,0.7819486926972027,0.060019708496393376,100.63146204758584,30.697694500841024,0.9090909090909091,0.5,0.0,0.0,0.0,0.0,False,5
constant_acceleration,52dafd686fe77b21,387,13,6,0.5592022455684384,1.2767042139738702,0.4242469010321515,101.45432433374022,60.81274787014495,0.8,0.5,0.0,0.0,0.0,0.0,False,4
constant_acceleration,52dafd686fe77b21,391,13,6,0.4763810235667001,1.0862202722149226,0.24404137071560328,101.3834312881862,29.744651160467043,0.9090909090909091,0.5,0.0,0.0,0.0,0.0,False,5
constant_acceleration,52dafd686fe77b21,395,13,6,0.13891775281454696,0.31650268592116637,0.052394946204400515,102.919081000789,60.31058776700672,0.8,0.5,0.0,0.0,0.0,0.0,False,4
constant_acceleration,52dafd686fe77b21,408,13,6,0.2938462994874518,0.7155229958045112,0.23821130568908533,102.05549384132841,177.4715848436133,0.0,0.0,1.0,0.1,0.0,0.1,False,5
oracle,52dafd686fe77b21,383,13,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,5
oracle,52dafd686fe77b21,387,13,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,4
oracle,52dafd686fe77b21,391,13,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,5
oracle,52dafd686fe77b21,395,13,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,4
oracle,52dafd686fe77b21,408,13,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,False,5
last_position,52dafd686fe77b21,383,14,5,0.017017203888478123,0.03760795947502661,0.006658105016316895,82.72287795607272,147.4105415900534,0.0,0.5,5.0,0.5,0.5,0.0,False,4
last_position,52dafd686fe77b21,387,14,5,0.012444514818379694,0.013671875,0.008146747335539573,82.61235920094738,72.97529744417395,0.75,0.5,0.0,0.0,0.0,0.0,False,3
last_position,52dafd686fe77b21,391,14,5,0.02336976011747384,0.045286769796407805,0.009110255734727523,82.64499285629793,145.52062387564735,0.0,0.5,5.0,0.5,0.5,0.0,False,4
last_position,52dafd686fe77b21,395,14,5,0.23856565447995343,0.4377660112933094,0.23848514540258742,82.58226329546821,72.37270532040807,0.75,0.5,1.0,0.1,0.0,0.1,False,3
last_position,52dafd686fe77b21,408,14,5,0.02175495455796608,0.04394548204177365,0.019079799458297055,82.61562544678259,0.0,1.0,nan,0.0,0.0,0.0,0.0,False,5
